"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"PFGC","Performance Food Group Company","53.04","6215306017.44","n/a","2015","Consumer Non-Durables","Food Distributors","https://old.nasdaq.com/symbol/pfgc",
"PM","Philip Morris International Inc","87.45","136061235606.45","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/pm",
"PPC","Pilgrim&#39;s Pride Corporation","26.42","6593650522.82","n/a","n/a","Consumer Non-Durables","Meat/Poultry/Fish","https://old.nasdaq.com/symbol/ppc",
"PLAG","Planet Green Holdings Corp","2.02","15913085.3","n/a","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/plag",
"POPE","Pope Resources","115.72","505374119.8","n/a","n/a","Consumer Non-Durables","Environmental Services","https://old.nasdaq.com/symbol/pope",
"POST","Post Holdings, Inc.","102.02","7214706164.94","n/a","2012","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/post",
"PRMW","Primo Water Corporation","15.3","604332512.1","n/a","2010","Consumer Non-Durables","Food Distributors","https://old.nasdaq.com/symbol/prmw",
"PVH","PVH Corp.","86.45","204121676.85","n/a","n/a","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/pvh",
"RL","Ralph Lauren Corporation","120.56","8890467050.96","n/a","1997","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/rl",
"RAND","Rand Capital Corporation","2.67","39129707.07","n/a","n/a","Consumer Non-Durables","Textiles","https://old.nasdaq.com/symbol/rand",
"RAVE","Rave Restaurant Group, Inc.","1.6217","24539450.881","n/a","n/a","Consumer Non-Durables","Food Distributors","https://old.nasdaq.com/symbol/rave",
"REED","Reeds, Inc.","1.04","49499014.24","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/reed",
"REV","Revlon, Inc.","21.68","1149807732.16","n/a","1996","Consumer Non-Durables","Package Goods/Cosmetics","https://old.nasdaq.com/symbol/rev",
"RIBT","RiceBran Technologies","1.3","51973520.3","n/a","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/ribt",
"RCKY","Rocky Brands, Inc.","25.89","190937947.41","n/a","1993","Consumer Non-Durables","Shoe Manufacturing","https://old.nasdaq.com/symbol/rcky",
"RMCF","Rocky Mountain Chocolate Factory, Inc.","8.31","49859434.92","n/a","n/a","Consumer Non-Durables","Specialty Foods","https://old.nasdaq.com/symbol/rmcf",
"SANW","S&W Seed Company","2.19","72936835.29","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/sanw",
"SAFM","Sanderson Farms, Inc.","136.21","3027870660.3","n/a","1987","Consumer Non-Durables","Meat/Poultry/Fish","https://old.nasdaq.com/symbol/safm",
"SENEA","Seneca Foods Corp.","38.72","354449501.12","n/a","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/senea",
"SENEB","Seneca Foods Corp.","39.5","361589754.5","n/a","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/seneb",
"SQBG","Sequential Brands Group, Inc.","0.305","20046416.885","n/a","n/a","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/sqbg",
"TYHT","Shineco, Inc.","0.615","16810058.22","n/a","2016","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/tyht",
"SITE","SiteOne Landscape Supply, Inc.","98.93","4093539588.06","n/a","2016","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/site",
"SKX","Skechers U.S.A., Inc.","39.51","6193499887.8","n/a","1999","Consumer Non-Durables","Shoe Manufacturing","https://old.nasdaq.com/symbol/skx",
"SONO","Sonos, Inc.","14.005","1540576189.35","n/a","2018","Consumer Non-Durables","Consumer Electronics/Appliances","https://old.nasdaq.com/symbol/sono",
"SNE","Sony Corp Ord","70.09","85919793697.88","n/a","n/a","Consumer Non-Durables","Consumer Electronics/Appliances","https://old.nasdaq.com/symbol/sne",
"SPTN","SpartanNash Company","12.5","454341712.5","n/a","n/a","Consumer Non-Durables","Food Distributors","https://old.nasdaq.com/symbol/sptn",
"SDI","Standard Diversified Inc.","11.66","194644834.12","n/a","n/a","Consumer Non-Durables","Tobacco","https://old.nasdaq.com/symbol/sdi",
"SHOO","Steven Madden, Ltd.","37.5","3153628462.5","n/a","1993","Consumer Non-Durables","Shoe Manufacturing","https://old.nasdaq.com/symbol/shoo",
"SGC","Superior Group of Companies, Inc.","10.97","167358254.18","n/a","n/a","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/sgc",
"SYY","Sysco Corporation","77.36","39338223826.16","n/a","n/a","Consumer Non-Durables","Food Distributors","https://old.nasdaq.com/symbol/syy",
"TLF","Tandy Leather Factory, Inc.","5.38","48065049.12","n/a","n/a","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/tlf",
"TPR","Tapestry, Inc.","27.97","7720525731.79","n/a","n/a","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/tpr",
"PETZ","TDH Holdings, Inc.","1.36","17022660.32","n/a","2017","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/petz",
"WTER","The Alkaline Water Company Inc.","1.48","38269931.76","n/a","n/a","Consumer Non-Durables","Food Distributors","https://old.nasdaq.com/symbol/wter",
"CHEF","The Chefs&#39; Warehouse, Inc.","39","1183002093","n/a","2011","Consumer Non-Durables","Food Distributors","https://old.nasdaq.com/symbol/chef",
"HAIN","The Hain Celestial Group, Inc.","27.22","2841349356.4","n/a","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/hain",
"KHC","The Kraft Heinz Company","29.54","36073085482.84","n/a","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/khc",
"SMPL","The Simply Good Foods Company","23.13","2205070886.52","n/a","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/smpl",
"THO","Thor Industries, Inc.","81.23","4483794949.88","n/a","n/a","Consumer Non-Durables","Homebuilding","https://old.nasdaq.com/symbol/tho",
"TR","Tootsie Roll Industries, Inc.","33.06","1299600402.42","n/a","n/a","Consumer Non-Durables","Specialty Foods","https://old.nasdaq.com/symbol/tr",
"THS","Treehouse Foods, Inc.","45.93","2581862125.47","n/a","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/ths",
"TUP","Tupperware Brands Corporation","6.51","318333700.86","n/a","n/a","Consumer Non-Durables","Plastic Products","https://old.nasdaq.com/symbol/tup",
"TPB","Turning Point Brands, Inc.","21.53","423324733.11","n/a","2016","Consumer Non-Durables","Tobacco","https://old.nasdaq.com/symbol/tpb",
"TSN","Tyson Foods, Inc.","80.35","29330813343.75","n/a","n/a","Consumer Non-Durables","Meat/Poultry/Fish","https://old.nasdaq.com/symbol/tsn",
"UA","Under Armour, Inc.","17.97","8114629483.26","n/a","2016","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/ua",
"UAA","Under Armour, Inc.","20.25","9144198499.5","n/a","n/a","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/uaa",
"UFI","Unifi, Inc.","23.01","425810312.46","n/a","n/a","Consumer Non-Durables","Textiles","https://old.nasdaq.com/symbol/ufi",
"UNFI","United Natural Foods, Inc.","7.47","399705858.09","n/a","2019","Consumer Non-Durables","Food Distributors","https://old.nasdaq.com/symbol/unfi",
"UG","United-Guardian, Inc.","17.2681","79335159.9239","n/a","n/a","Consumer Non-Durables","Package Goods/Cosmetics","https://old.nasdaq.com/symbol/ug",
"UEIC","Universal Electronics Inc.","45.66","635960927.1","n/a","1993","Consumer Non-Durables","Consumer Electronics/Appliances","https://old.nasdaq.com/symbol/ueic",
"USFD","US Foods Holding Corp.","40.51","8888763223.07","n/a","2016","Consumer Non-Durables","Food Distributors","https://old.nasdaq.com/symbol/usfd",
"VFC","V.F. Corporation","82.96","32745994760.64","n/a","n/a","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/vfc",
"VGR","Vector Group Ltd.","13.51","1996643724.11","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/vgr",
"VRA","Vera Bradley, Inc.","9.71","326667966.17","n/a","2010","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/vra",
"VFF","Village Farms International, Inc.","5.01","263809911.69","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/vff",
"WCC","WESCO International, Inc.","47.84","1999572929.12","n/a","1999","Consumer Non-Durables","Telecommunications Equipment","https://old.nasdaq.com/symbol/wcc",
"WEYS","Weyco Group, Inc.","23.65","233847250.45","n/a","n/a","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/weys",
"WVVI","Willamette Valley Vineyards, Inc.","6.8896","34203618.9984","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/wvvi",
"WVVIP","Willamette Valley Vineyards, Inc.","4.59","21402105.12","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/wvvip",
"WGO","Winnebago Industries, Inc.","57.41","1933579420.85","n/a","n/a","Consumer Non-Durables","Homebuilding","https://old.nasdaq.com/symbol/wgo",
"WWW","Wolverine World Wide, Inc.","31.74","2566995860.64","n/a","n/a","Consumer Non-Durables","Shoe Manufacturing","https://old.nasdaq.com/symbol/www",
"YETI","YETI Holdings, Inc.","35.6","3085206644.8","n/a","2018","Consumer Non-Durables","Recreational Products/Toys","https://old.nasdaq.com/symbol/yeti",
