"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"GPOR","Gulfport Energy Corporation","1.36","217204540.56","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/gpor",
"HNRG","Hallador Energy Company","1.655","50062017.215","n/a","n/a","Energy","Coal Mining","https://old.nasdaq.com/symbol/hnrg",
"HAL","Halliburton Company","21.8","19136135854.6","n/a","n/a","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/hal",
"HLX","Helix Energy Solutions Group, Inc.","8.36","1244047144.12","n/a","n/a","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/hlx",
"HP","Helmerich & Payne, Inc.","42.65","4643631601.9","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/hp",
"HES","Hess Corporation","55.45","16895960730.75","n/a","n/a","Energy","Integrated oil Companies","https://old.nasdaq.com/symbol/hes",
"HESM","Hess Midstream LP","22.6","6426933375.8","n/a","2017","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/hesm",
"HPR","HighPoint Resources Corporation","1.08","230769011.88","n/a","2018","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/hpr",
"HEP","Holly Energy Partners, L.P.","22.78","2401927778.78","n/a","2004","Energy","Natural Gas Distribution","https://old.nasdaq.com/symbol/hep",
"HFC","HollyFrontier Corporation","43.52","7023680657.92","n/a","n/a","Energy","Integrated oil Companies","https://old.nasdaq.com/symbol/hfc",
"HOLI","Hollysys Automation Technologies, Ltd.","15.05","908148589.95","n/a","n/a","Energy","Industrial Machinery/Components","https://old.nasdaq.com/symbol/holi",
"HUSA","Houston American Energy Corporation","0.1478","9633726.674","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/husa",
"IPWR","Ideal Power Inc.","2.6","5459872.6","n/a","2013","Energy","Industrial Machinery/Components","https://old.nasdaq.com/symbol/ipwr",
"IMO","Imperial Oil Limited","23.49","17474259013.56","n/a","n/a","Energy","Integrated oil Companies","https://old.nasdaq.com/symbol/imo",
"ICD","Independence Contract Drilling, Inc.","0.651","49683977.574","n/a","2014","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/icd",
"INDO","Indonesia Energy Corporation Limited","6.5","47863640.5","n/a","2019","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/indo",
"IO","Ion Geophysical Corporation","4.24","60313096.88","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/io",
"KRP","Kimbell Royalty Partners","13.7","740844734.6","n/a","2017","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/krp",
"KLXE","KLX Energy Services Holdings, Inc. ","3.79","91294137.77","n/a","n/a","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/klxe",
"PHG","Koninklijke Philips N.V.","48.03","42793471133.7","n/a","n/a","Energy","Consumer Electronics/Appliances","https://old.nasdaq.com/symbol/phg",
"KOS","Kosmos Energy Ltd.","5.32","2136065641.36","n/a","2011","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/kos",
"LPI","Laredo Petroleum, Inc.","1.7","403127016.3","n/a","2011","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/lpi",
"LBRT","Liberty Oilfield Services Inc.","7.76","873188909.44","n/a","2018","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/lbrt",
"LLEX","Lilis Energy, Inc.","0.2286","20970967.5576","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/llex",
"LONE","Lonestar Resources US Inc.","1.61","40322802.59","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/lone",
"MIC","Macquarie Infrastructure Corporation ","44.17","3819043103.75","n/a","2004","Energy","Oil Refining/Marketing","https://old.nasdaq.com/symbol/mic",
"MMP","Magellan Midstream Partners L.P.","59.3","13544323280.4","n/a","n/a","Energy","Natural Gas Distribution","https://old.nasdaq.com/symbol/mmp",
"MGY","Magnolia Oil & Gas Corporation","10.15","2629567320.8","n/a","2017","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/mgy",
"TUSK","Mammoth Energy Services, Inc.","1.41","63480260.01","n/a","2016","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/tusk",
"MRO","Marathon Oil Corporation","11.68","9300064535.36","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/mro",
"MPC","Marathon Petroleum Corporation","54.69","35511404265.21","n/a","n/a","Energy","Integrated oil Companies","https://old.nasdaq.com/symbol/mpc",
"MARPS","Marine Petroleum Trust","1.85","3700000","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/marps",
"MMLP","Martin Midstream Partners L.P.","2.6","101044811.4","n/a","2002","Energy","Oil Refining/Marketing","https://old.nasdaq.com/symbol/mmlp",
"MTDR","Matador Resources Company","13.66","1593317548.94","n/a","2012","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/mtdr",
"MTR","Mesa Royalty Trust","7.33","13660114.7","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/mtr",
"MXC","Mexco Energy Corporation","3.6073","7359490.8118","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/mxc",
"MGEE","MGE Energy Inc.","80.37","2786296896.9","n/a","n/a","Energy","Electric Utilities: Central","https://old.nasdaq.com/symbol/mgee",
"MCEP","Mid-Con Energy Partners, LP","0.2464","7595105.3024","n/a","2011","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/mcep",
"AMPY","MIDSTATES PETROLEUM COMPANY, INC.","5.41","210633675.76","n/a","2016","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/ampy",
"MR","Montage Resources Corporation","3.54","126766897.32","n/a","2014","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/mr",
"MPLX","MPLX LP","23","24342171992","n/a","2012","Energy","Natural Gas Distribution","https://old.nasdaq.com/symbol/mplx",
"MUR","Murphy Oil Corporation","21.95","3356931173.95","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/mur",
"MVO","MV Oil Trust","5.41","62215000","n/a","2007","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/mvo",
"NBR","Nabors Industries Ltd.","2.17","788612249.11","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/nbr",
"NESR","National Energy Services Reunited Corp.","7.1","618744331.9","n/a","2017","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/nesr",
"NESRW","National Energy Services Reunited Corp.","0.72","0","n/a","2017","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/nesrw",
"NOV","National Oilwell Varco, Inc.","24.18","9329420637.42","n/a","n/a","Energy","Metal Fabrications","https://old.nasdaq.com/symbol/nov",
"NGS","Natural Gas Services Group, Inc.","10.33","139149201.01","n/a","2002","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/ngs",
"NRP","Natural Resource Partners LP","19.49","238970768.51","n/a","2002","Energy","Coal Mining","https://old.nasdaq.com/symbol/nrp",
"NCSM","NCS Multistage Holdings, Inc.","1.56","73028462.52","n/a","2017","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/ncsm",
"GBR","New Concept Energy, Inc","1.12","5747766.08","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/gbr",
"NR","Newpark Resources, Inc.","4.48","402027588.48","n/a","n/a","Energy","Metal Fabrications","https://old.nasdaq.com/symbol/nr",
"NEX","NexTier Oilfield Solutions Inc.","5.21","1095276350.27","n/a","2017","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/nex",
"NGL","NGL ENERGY PARTNERS LP","9.83","1261669745.98","n/a","2011","Energy","Oil Refining/Marketing","https://old.nasdaq.com/symbol/ngl",
"NINE","Nine Energy Service, Inc.","4.79","146428125.34","n/a","2018","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/nine",
"NE","Noble Corporation","0.8127","202524944.8383","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/ne",
